scenario,factor_a,state_a,factor_b,state_b,total_candidate_observations,total_scenario_episodes,episodes_with_candidate,episode_coverage_pct,qualifying_episodes_ge_20,max_episode_observations,mean_observations_per_occupied_episode,median_observations_per_occupied_episode,max_episode_concentration_pct,coverage_classification,episode_stability_classification,oos_observations,oos_up_pct,oos_mean_return_5d,oos_oos_folds,oos_stability,evidence_classification,research_action
TREND_UP,change_pct,HIGH,trend_score,HIGH,0,19,0,0.0,0,0,0.0,0.0,0.0,NO_HISTORICAL_EVIDENCE,UNKNOWN,946,35.94080338266385,-0.3728209897763917,8,REPEATED,NO_HISTORICAL_EVIDENCE,No historical evidence; retain candidate only for future data collection.
TREND_UP,intelligence_score,HIGH,trend_score,HIGH,133,19,16,84.21052631578947,1,26,8.3125,7.0,19.548872180451127,RECURRENT_WITH_QUALIFYING_EPISODES,UNKNOWN,1191,37.19563392107473,-0.4140179727202133,8,REPEATED,RECURRENT_BUT_SPARSE,Evidence is incomplete or mixed; continue research conservatively.
TREND_UP,relative_strength,HIGH,trend_score,HIGH,0,19,0,0.0,0,0,0.0,0.0,0.0,NO_HISTORICAL_EVIDENCE,UNKNOWN,835,35.08982035928144,-0.494945651298692,8,REPEATED,NO_HISTORICAL_EVIDENCE,No historical evidence; retain candidate only for future data collection.
TREND_UP,trend_score,HIGH,momentum_score,HIGH,49,19,13,68.42105263157895,0,13,3.769230769230769,3.0,26.53061224489796,RECURRENT_BUT_SPARSE,UNKNOWN,1167,36.41816623821765,-0.5160629099397622,8,REPEATED,RECURRENT_BUT_SPARSE,Continue collecting independent episodes; insufficient within-episode evidence for stability.
TREND_UP,trend_score,HIGH,volatility_score,HIGH,64,19,12,63.1578947368421,0,12,5.333333333333333,4.0,18.75,RECURRENT_BUT_SPARSE,UNKNOWN,468,34.61538461538461,-0.4460225551600992,6,REPEATED,RECURRENT_BUT_SPARSE,Continue collecting independent episodes; insufficient within-episode evidence for stability.
TREND_UP,trend_score,HIGH,volatility_score,LOW,0,19,0,0.0,0,0,0.0,0.0,0.0,NO_HISTORICAL_EVIDENCE,UNKNOWN,1007,38.232373386295926,-0.4546095918169747,7,REPEATED,NO_HISTORICAL_EVIDENCE,No historical evidence; retain candidate only for future data collection.
