scenario,factor_a,factor_b,state_a,state_b,observations,down_pct,flat_pct,up_pct,outcome_separation,mean_return_5d,median_return_5d
HIGH_VOL,change_pct,momentum_score,LOW,LOW,104,17.307692307692307,5.769230769230769,76.92307692307693,71.15384615384616,2.941736538461538,2.8035
HIGH_VOL,trend_score,volatility_score,HIGH,LOW,118,17.796610169491526,5.932203389830509,76.27118644067797,70.33898305084746,2.9023228813559325,2.7679
HIGH_VOL,trend_score,liquidity_score,HIGH,HIGH,141,23.404255319148938,7.092198581560284,69.50354609929079,62.4113475177305,2.279798581560284,2.3654
HIGH_VOL,relative_strength,trend_score,HIGH,HIGH,103,27.184466019417474,7.766990291262135,65.0485436893204,57.28155339805826,2.310144660194175,2.5334
HIGH_VOL,intelligence_score,trend_score,HIGH,HIGH,118,27.966101694915253,7.627118644067797,64.40677966101694,56.77966101694915,1.9352745762711865,2.3061
HIGH_VOL,intelligence_score,liquidity_score,HIGH,HIGH,117,29.059829059829063,7.6923076923076925,63.24786324786324,55.55555555555556,1.7360641025641026,2.065
HIGH_VOL,trend_score,momentum_score,HIGH,HIGH,110,24.545454545454547,10.0,65.45454545454545,55.45454545454545,2.0182936363636363,2.3225
HIGH_VOL,change_pct,trend_score,HIGH,HIGH,101,25.742574257425744,10.891089108910892,63.366336633663366,52.475247524752476,1.8586396039603963,2.065
HIGH_VOL,change_pct,momentum_score,HIGH,HIGH,105,24.761904761904763,12.380952380952381,62.857142857142854,50.476190476190474,1.8971714285714283,2.065
TREND_UP,intelligence_score,trend_score,HIGH,LOW,129,37.2093023255814,10.077519379844961,52.71317829457365,42.63565891472869,0.2758333333333334,0.8539
TREND_DOWN,change_pct,trend_score,HIGH,LOW,800,51.87500000000001,10.75,37.375,41.12500000000001,-0.38788125000000007,-0.6469
TREND_DOWN,trend_score,liquidity_score,LOW,LOW,655,49.770992366412216,9.31297709923664,40.916030534351144,40.458015267175576,-0.17547954198473295,-0.4811
TREND_DOWN,change_pct,intelligence_score,HIGH,LOW,768,51.041666666666664,10.9375,38.02083333333333,40.104166666666664,-0.4407761718749999,-0.5577000000000001
TREND_DOWN,change_pct,momentum_score,HIGH,LOW,260,50.38461538461539,10.384615384615385,39.23076923076923,40.0,-0.4877673076923077,-0.5257499999999999
TREND_DOWN,relative_strength,volatility_score,LOW,LOW,1012,41.00790513833992,9.58498023715415,49.40711462450593,39.822134387351774,0.4796203557312253,0.46885
TREND_DOWN,intelligence_score,momentum_score,HIGH,LOW,657,36.37747336377473,12.02435312024353,51.598173515981735,39.57382039573821,0.37905875190258753,0.6106
TREND_DOWN,relative_strength,trend_score,HIGH,LOW,776,51.80412371134021,12.242268041237113,35.95360824742268,39.5618556701031,-0.429034793814433,-0.6235999999999999
CHOPPY,relative_strength,volatility_score,LOW,LOW,377,49.602122015915114,10.079575596816976,40.318302387267906,39.52254641909814,-0.29394774535809015,-0.4972
TREND_DOWN,trend_score,volatility_score,LOW,LOW,848,49.29245283018868,9.787735849056604,40.91981132075472,39.50471698113207,0.09774398584905683,-0.39044999999999996
TREND_DOWN,trend_score,volatility_score,HIGH,LOW,1158,39.637305699481864,10.449050086355786,49.91364421416235,39.46459412780656,0.3667173575129535,0.4958
TREND_DOWN,intelligence_score,relative_strength,LOW,HIGH,781,51.21638924455826,11.907810499359796,36.875800256081945,39.30857874519846,-0.4607140845070423,-0.5644
TREND_DOWN,trend_score,momentum_score,LOW,HIGH,681,49.926578560939795,10.866372980910425,39.20704845814978,39.06020558002937,-0.1852327459618208,-0.4827
TREND_DOWN,intelligence_score,volatility_score,HIGH,LOW,967,40.95139607032058,10.031023784901757,49.01758014477766,38.9865563598759,0.3355153050672183,0.4122
TREND_UP,change_pct,relative_strength,LOW,HIGH,340,52.352941176470594,13.529411764705882,34.11764705882353,38.82352941176471,-0.5355894117647059,-0.5511
TREND_UP,change_pct,trend_score,HIGH,LOW,612,35.62091503267974,12.908496732026146,51.470588235294116,38.56209150326797,0.7548864379084967,0.59915
CHOPPY,change_pct,relative_strength,LOW,HIGH,149,30.87248322147651,15.436241610738255,53.691275167785236,38.25503355704698,0.741289932885906,0.6696
CHOPPY,momentum_score,volatility_score,HIGH,LOW,360,49.72222222222222,11.944444444444445,38.333333333333336,37.77777777777778,-0.3534227777777778,-0.4976
TREND_DOWN,intelligence_score,momentum_score,LOW,HIGH,656,48.323170731707314,10.670731707317072,41.006097560975604,37.65243902439025,-0.22344451219512218,-0.2162
