candidate,scenario,factor_a,factor_b,state_a,state_b,episode_count,successful_episode_count,failure_episode_count,success_rate,observations,dominant_outcome,dominant_probability,mean_return_5d,median_return_5d,baseline_probability,uplift_vs_baseline,return_uplift_vs_baseline,stability,episode_details
TREND_UP|trend_score=HIGH|momentum_score=HIGH,TREND_UP,trend_score,momentum_score,HIGH,HIGH,0,0,0,,49,DOWN,,0.5656224489795919,0.5221,42.94403892944039,,,INSUFFICIENT_EPISODES,
TREND_UP|relative_strength=HIGH|trend_score=HIGH,TREND_UP,relative_strength,trend_score,HIGH,HIGH,0,0,0,,0,DOWN,,,,42.94403892944039,,,INSUFFICIENT_EPISODES,
TREND_UP|change_pct=HIGH|trend_score=HIGH,TREND_UP,change_pct,trend_score,HIGH,HIGH,0,0,0,,0,DOWN,,,,42.94403892944039,,,INSUFFICIENT_EPISODES,
TREND_UP|trend_score=HIGH|volatility_score=HIGH,TREND_UP,trend_score,volatility_score,HIGH,HIGH,0,0,0,,64,DOWN,,-0.7873000000000001,-1.3058999999999998,42.94403892944039,,,INSUFFICIENT_EPISODES,
TREND_UP|trend_score=HIGH|volatility_score=LOW,TREND_UP,trend_score,volatility_score,HIGH,LOW,0,0,0,,0,DOWN,,,,42.94403892944039,,,INSUFFICIENT_EPISODES,
TREND_UP|intelligence_score=HIGH|trend_score=HIGH,TREND_UP,intelligence_score,trend_score,HIGH,HIGH,1,0,1,0.0,134,DOWN,50.0,0.16301641791044783,0.47940000000000005,42.94403892944039,7.055961070559611,0.09535123542869599,SINGLE_EPISODE,E1:2025-09-08->2025-09-19;n=26;UP=73.08%;success=False
