global_ic,regime_ic,shrunk_ic,regime_days,icir,direction,source,weight,window,regime,factor
0.0020295192409122927,-0.036488370388341844,-0.018146518183935114,44,1.530095201342366,-1,REGIME,0.1319937336954855,1,SIDEWAYS,relative_strength
0.035571223358785625,0.004824948455850221,0.01946603174296232,44,0.14562689486847216,1,REGIME,0.013475986558329314,1,SIDEWAYS,trend_score
0.013965564773548548,-0.02150488585260226,-0.004614195078244734,44,0.7591749868308437,-1,REGIME,0.016652498174722502,1,SIDEWAYS,momentum_score
0.009525487862764484,0.06988589503230985,0.040796542179516906,43,2.6208163610736785,1,REGIME,0.3878777815714627,1,SIDEWAYS,volatility_score
0.04096314707082248,0.10754210686198871,0.0758378402947667,44,4.59333994711911,1,REGIME,0.45,1,SIDEWAYS,liquidity_score
0.0020295192409122927,0.03379002412501068,0.015896781936786234,31,1.1939478018653913,1,REGIME,0.189087666567048,1,TREND_UP,relative_strength
0.035571223358785625,0.07591692468463311,0.05318695210669086,31,2.9423866570483916,1,REGIME,0.45,1,TREND_UP,trend_score
0.013965564773548548,0.031169334252446147,0.02147706975729257,31,1.1411224236964592,1,REGIME,0.24416078501666424,1,TREND_UP,momentum_score
0.009525487862764484,-0.013115014567954742,-0.0003598019309298253,31,0.47440875784503794,-1,REGIME,0.0017005320940482974,1,TREND_UP,volatility_score
0.04096314707082248,-0.026515787967580546,0.011500513462505664,31,1.00416385176799,1,REGIME,0.11505101632223945,1,TREND_UP,liquidity_score
0.0020295192409122927,0.0020295192409122927,0.0020295192409122927,9,1.012615830100765,1,GLOBAL_FALLBACK,0.020868768061641108,1,LOW_VOL,relative_strength
0.035571223358785625,0.035571223358785625,0.035571223358785625,9,0.49855527033433666,1,GLOBAL_FALLBACK,0.18008230469651518,1,LOW_VOL,trend_score
0.013965564773548548,0.013965564773548548,0.013965564773548548,9,1.2990108305403991,1,GLOBAL_FALLBACK,0.18421721076773875,1,LOW_VOL,momentum_score
0.009525487862764484,0.009525487862764484,0.009525487862764484,9,1.7040982336983546,1,GLOBAL_FALLBACK,0.16483171647410497,1,LOW_VOL,volatility_score
0.04096314707082248,0.04096314707082248,0.04096314707082248,9,1.3054074953714805,1,GLOBAL_FALLBACK,0.45,1,LOW_VOL,liquidity_score
