scenario_id,primary_scenario,fingerprint,candidate,rank_within_scenario,oos_windows,positive_oos_windows,negative_oos_windows,positive_oos_pct,mean_oos_spread,median_oos_spread,worst_oos_spread,best_oos_spread,evidence_status,research_decision,scenario_weapon_status,decision_reason,research_conclusion
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_BASELINE_FAILURE,1,5,3,2,60.0,0.3690080000000003,0.4894300000000001,-2.162369999999999,4.0734,EARLY,CONTINUE_OOS,WATCH,Evidence is early; fewer than 10 genuine OOS windows.,"Interesting relationship, but genuine OOS evidence is still accumulating."
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_CONDITIONAL_SCORE,2,5,2,3,40.0,-0.932434,-0.9557800000000002,-5.36845,2.48857,EARLY,CONTINUE_OOS,WATCH,Evidence is early; fewer than 10 genuine OOS windows.,"Interesting relationship, but genuine OOS evidence is still accumulating."
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_FACTOR_AGREEMENT,3,5,1,4,20.0,-1.0999666666666663,-1.0355333333333334,-3.078377777777778,0.8559333333333334,EARLY,CONTINUE_OOS,WATCH,Evidence is early; fewer than 10 genuine OOS windows.,"Interesting relationship, but genuine OOS evidence is still accumulating."
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_FACTOR_AGREEMENT,1,5,2,3,40.0,-1.2847955555555557,-1.8924333333333327,-4.607377777777778,2.0187222222222223,EARLY,CONTINUE_OOS,WATCH,Evidence is early; fewer than 10 genuine OOS windows.,"Interesting relationship, but genuine OOS evidence is still accumulating."
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_CONDITIONAL_SCORE,2,5,2,3,40.0,-1.714722,-1.0489700000000002,-4.90774,1.43446,EARLY,CONTINUE_OOS,WATCH,Evidence is early; fewer than 10 genuine OOS windows.,"Interesting relationship, but genuine OOS evidence is still accumulating."
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_BASELINE_FAILURE,3,5,2,3,40.0,-1.724554,-2.535099999999999,-4.15775,1.43446,EARLY,CONTINUE_OOS,WATCH,Evidence is early; fewer than 10 genuine OOS windows.,"Interesting relationship, but genuine OOS evidence is still accumulating."
