primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d
LOW_VOL,liquidity_score,VERY_HIGH,497,18,32,53.52112676056338,0.266282092555332,0.2135,-13.1396,14.1326
LOW_VOL,momentum_score,HIGH,51,16,29,37.254901960784316,-0.42476470588235293,-0.4224,-6.3705,12.6707
LOW_VOL,momentum_score,LOW,44,14,28,40.909090909090914,-0.7026977272727273,-0.8389500000000001,-9.7743,7.5368
LOW_VOL,momentum_score,MEDIUM,786,18,49,54.4529262086514,0.2400073791348601,0.24775,-30.1183,14.1326
LOW_VOL,momentum_score,VERY_HIGH,1,1,1,0.0,-4.5636,-4.5636,-4.5636,-4.5636
LOW_VOL,relative_strength,LOW,882,18,49,52.721088435374156,0.14909353741496598,0.14625,-30.1183,14.1326
LOW_VOL,trend_score,HIGH,168,18,47,52.976190476190474,0.20793809523809528,0.1231,-7.2155,14.1326
LOW_VOL,trend_score,MEDIUM,271,18,48,59.040590405904055,0.4628723247232473,0.4874,-8.2029,10.196
LOW_VOL,trend_score,VERY_HIGH,443,18,49,48.75846501128668,-0.06517268623024833,-0.0185,-30.1183,12.8949
LOW_VOL,volatility_score,HIGH,18,7,12,38.88888888888889,0.47946666666666654,-0.65635,-5.1901,10.196
LOW_VOL,volatility_score,LOW,1,1,1,0.0,-3.8142,-3.8142,-3.8142,-3.8142
LOW_VOL,volatility_score,VERY_HIGH,863,18,49,53.070683661645425,0.14679524913093867,0.1699,-30.1183,14.1326
TREND_DOWN,intelligence_score,HIGH,1224,82,46,54.084967320261434,0.27772867647058824,0.29015,-14.5157,13.6238
TREND_DOWN,intelligence_score,LOW,27,17,6,51.85185185185185,0.03917407407407393,0.0794,-5.5597,7.9851
TREND_DOWN,intelligence_score,MEDIUM,2767,82,49,49.18684495843874,0.09515923382724961,-0.0352,-35.87,18.484
TREND_DOWN,liquidity_score,HIGH,1098,82,25,48.998178506375226,-0.05544863387978134,-0.07385,-35.87,18.484
TREND_DOWN,liquidity_score,MEDIUM,419,82,8,46.30071599045346,-0.29524821002386636,-0.1996,-11.4374,12.0454
TREND_DOWN,liquidity_score,VERY_HIGH,2501,82,38,52.179128348660534,0.3154317473010796,0.1825,-14.5157,17.326
TREND_DOWN,momentum_score,HIGH,282,67,48,54.96453900709219,0.3914677304964539,0.38580000000000003,-11.4739,12.4062
