primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d,scenario_baseline_observations,scenario_baseline_positive_5d_pct,scenario_baseline_mean_return_5d,global_baseline_observations,global_baseline_positive_5d_pct,global_baseline_mean_return_5d,positive_rate_lift_vs_scenario,mean_return_lift_vs_scenario,positive_rate_lift_vs_global,mean_return_lift_vs_global,predictive_strength_status,predictive_strength_reason,research_role
HIGH_VOL,momentum_score,HIGH,85,5,42,69.41176470588235,2.073738823529412,2.3364,-5.6835,11.47,245,73.87755102040816,2.284386530612245,12097,51.483838968339256,0.1802793585186409,-4.465786314525815,-0.2106477070828329,17.92792573754309,1.8934594650107708,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
LOW_VOL,trend_score,VERY_HIGH,443,18,49,48.75846501128668,-0.0651726862302483,-0.0185,-30.1183,12.8949,882,52.72108843537416,0.149093537414966,12097,51.483838968339256,0.1802793585186409,-3.962623424087475,-0.2142662236452143,-2.7253739570525752,-0.2454520447488892,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
LOW_VOL,liquidity_score,HIGH,283,18,22,49.82332155477032,-0.0760989399293286,-0.0062,-30.1183,10.196,882,52.72108843537416,0.149093537414966,12097,51.483838968339256,0.1802793585186409,-2.8977668806038395,-0.2251924773442946,-1.6605174135689396,-0.2563782984479695,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
TREND_UP,trend_score,VERY_HIGH,2577,82,49,48.50601474582849,-0.163725184322856,-0.1061,-33.2122,12.3968,4012,51.22133599202393,0.0964527666999003,12097,51.483838968339256,0.1802793585186409,-2.715321246195444,-0.2601779510227563,-2.977824222510769,-0.3440045428414969,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
FLAT,liquidity_score,HIGH,102,6,22,48.03921568627451,-0.2465950980392157,-0.1586,-7.2081,5.6309,294,52.72108843537416,0.1083214285714285,12097,51.483838968339256,0.1802793585186409,-4.681872749099647,-0.3549165266106442,-3.4446232820647467,-0.4268744565578566,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
TREND_DOWN,liquidity_score,MEDIUM,419,82,8,46.30071599045346,-0.2952482100238663,-0.1996,-11.4374,12.0454,4018,50.696864111498265,0.1503990044798407,12097,51.483838968339256,0.1802793585186409,-4.396148121044803,-0.445647214503707,-5.183122977885795,-0.4755275685425073,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
HIGH_VOL,volatility_score,VERY_HIGH,94,5,20,68.08510638297872,1.83418085106383,1.66105,-11.438,12.5438,245,73.87755102040816,2.284386530612245,12097,51.483838968339256,0.1802793585186409,-5.7924446374294405,-0.4502056795484148,16.601267414639466,1.653901492545189,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
CHOPPY,momentum_score,HIGH,154,30,47,38.31168831168832,-0.6584681818181818,-0.68065,-8.7905,10.4581,1519,46.93877551020408,-0.1550221856484529,12097,51.483838968339256,0.1802793585186409,-8.62708719851576,-0.5034459961697288,-13.172150656650937,-0.8387475403368228,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
LOW_VOL,momentum_score,HIGH,51,16,29,37.25490196078432,-0.4247647058823529,-0.4224,-6.3705,12.6707,882,52.72108843537416,0.149093537414966,12097,51.483838968339256,0.1802793585186409,-15.466186474589833,-0.5738582432973189,-14.228937007554933,-0.6050440644009938,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
TREND_UP,momentum_score,LOW,138,55,43,43.47826086956522,-0.5569036231884058,-0.6412,-9.9033,10.7716,4012,51.22133599202393,0.0964527666999003,12097,51.483838968339256,0.1802793585186409,-7.743075122458713,-0.6533563898883061,-8.005578098774038,-0.7371829817070468,NEGATIVE,Meaningful negative lift versus the scenario baseline.,POTENTIAL_EXCLUSION_SIGNAL
