batch_id,batch_priority,queue_priority,research_priority,scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,oos_windows,target_oos_windows,oos_gap_to_target,eligibility_status,queue_action,batch_action,batch_reason,batch_rank
BATCH_028,P3,P3,LOW,UNEXPLORED_31,CHOPPY,bfbb49ed1d9c554e,TRACK_B_CONDITIONAL_SCORE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_31 does not currently have sufficient scenario history for immediate OOS research.,28
BATCH_028,P3,P3,LOW,UNEXPLORED_31,CHOPPY,bfbb49ed1d9c554e,TRACK_B_FACTOR_AGREEMENT,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_31 does not currently have sufficient scenario history for immediate OOS research.,28
BATCH_028,P3,P3,LOW,UNEXPLORED_31,CHOPPY,bfbb49ed1d9c554e,TRACK_C_FACTOR_INTERACTION,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_31 does not currently have sufficient scenario history for immediate OOS research.,28
BATCH_028,P3,P3,LOW,UNEXPLORED_31,CHOPPY,bfbb49ed1d9c554e,TRACK_C_REGIME_AWARE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_31 does not currently have sufficient scenario history for immediate OOS research.,28
BATCH_028,P3,P3,LOW,UNEXPLORED_31,CHOPPY,bfbb49ed1d9c554e,TRACK_C_SCENARIO_WEAPON,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_31 does not currently have sufficient scenario history for immediate OOS research.,28
BATCH_029,P3,P3,LOW,UNEXPLORED_32,TREND_UP,93d0311726a1d9e8,TRACK_B_BASELINE_FAILURE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_32 does not currently have sufficient scenario history for immediate OOS research.,29
BATCH_029,P3,P3,LOW,UNEXPLORED_32,TREND_UP,93d0311726a1d9e8,TRACK_B_CONDITIONAL_SCORE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_32 does not currently have sufficient scenario history for immediate OOS research.,29
BATCH_029,P3,P3,LOW,UNEXPLORED_32,TREND_UP,93d0311726a1d9e8,TRACK_B_FACTOR_AGREEMENT,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_32 does not currently have sufficient scenario history for immediate OOS research.,29
BATCH_029,P3,P3,LOW,UNEXPLORED_32,TREND_UP,93d0311726a1d9e8,TRACK_C_FACTOR_INTERACTION,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_32 does not currently have sufficient scenario history for immediate OOS research.,29
BATCH_029,P3,P3,LOW,UNEXPLORED_32,TREND_UP,93d0311726a1d9e8,TRACK_C_REGIME_AWARE,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_32 does not currently have sufficient scenario history for immediate OOS research.,29
BATCH_029,P3,P3,LOW,UNEXPLORED_32,TREND_UP,93d0311726a1d9e8,TRACK_C_SCENARIO_WEAPON,1,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_32 does not currently have sufficient scenario history for immediate OOS research.,29
BATCH_030,P3,P3,LOW,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_B_BASELINE_FAILURE,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_34 does not currently have sufficient scenario history for immediate OOS research.,30
BATCH_030,P3,P3,LOW,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_B_CONDITIONAL_SCORE,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_34 does not currently have sufficient scenario history for immediate OOS research.,30
BATCH_030,P3,P3,LOW,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_B_FACTOR_AGREEMENT,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_34 does not currently have sufficient scenario history for immediate OOS research.,30
BATCH_030,P3,P3,LOW,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_C_FACTOR_INTERACTION,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_34 does not currently have sufficient scenario history for immediate OOS research.,30
BATCH_030,P3,P3,LOW,UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_C_REGIME_AWARE,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,WAIT_FOR_SCENARIO_HISTORY,UNEXPLORED_34 does not currently have sufficient scenario history for immediate OOS research.,30
