primary_scenario,candidate,eligible_fingerprints,mean_spread,median_spread,positive_fingerprint_pct,best_fingerprint_spread,worst_fingerprint_spread,research_status
TREND_DOWN,TRACK_B_BASELINE_FAILURE,2,-0.14718149999999974,-0.14718149999999974,50.0,0.7906110000000002,-1.0849739999999997,ELIGIBLE_NO_OOS
TREND_DOWN,TRACK_B_CONDITIONAL_SCORE,2,-0.6881744999999999,-0.6881744999999999,0.0,-0.3384489999999999,-1.0378999999999998,ELIGIBLE_NO_OOS
TREND_DOWN,TRACK_B_FACTOR_AGREEMENT,2,-0.9240366666666668,-0.9240366666666668,0.0,-0.8431477777777779,-1.0049255555555556,ELIGIBLE_NO_OOS
