scenario,factor,horizon_days,global_oos_fold_count,oos_fold_count,oos_finite_ic_folds,regime_total_dates,regime_oos_dates,oos_usable_dates,mean_stocks_per_date,oos_mean_ic,oos_ic_std,oos_icir,oos_positive_ic_fold_pct,mean_top_quintile_return,mean_bottom_quintile_return,mean_quintile_spread,positive_spread_fold_pct,bootstrap_95ci_low,bootstrap_95ci_high,raw_sign_test_p_value,adjusted_p_value,evidence_classification
CHOPPY,change_pct,1,7,7,7,31,22,22,49.0,0.015313652542461769,0.1638324841203891,0.09347140540949639,57.14285714285714,-0.40028936796536796,-0.8731532407407407,0.47286387277537273,42.857142857142854,-0.15903371227753724,1.2841171796536799,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,change_pct,5,7,7,7,31,22,22,49.0,0.045478195318975144,0.09728288243461199,0.4674840442720537,71.42857142857143,0.3682858636363636,-0.6214452380952382,0.9897311017316016,71.42857142857143,-0.05912388295454545,2.198721759523809,0.453125,1.0,WEAK_INCONSISTENT
CHOPPY,change_pct,10,7,7,7,31,22,22,49.0,-0.07463934266725647,0.10240604009068338,-0.728856838924357,28.57142857142857,0.186649380952381,0.439817962962963,-0.25316858201058207,42.857142857142854,-1.3401132335978838,0.9341895203703687,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,change_pct,20,7,7,7,31,22,18,40.09090909090909,-0.011647597664890418,0.14686434599011802,-0.07930854549050416,28.57142857142857,0.635035619047619,0.5986941931216931,0.03634142592592588,42.857142857142854,-1.9300510200396823,2.534778187830688,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,intelligence_score,1,7,7,7,31,22,22,49.0,0.1152959017693678,0.1797868849951509,0.6412920596097846,57.14285714285714,-0.359550119047619,-0.9417997883597884,0.5822496693121691,42.857142857142854,-0.018097251322751327,1.2512383201058193,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,intelligence_score,5,7,7,7,31,22,22,49.0,-0.06088654261539541,0.16645499850474332,-0.36578380440561165,42.857142857142854,-0.9430974523809522,-0.08277370370370378,-0.8603237486772485,42.857142857142854,-2.529569486111111,0.23266766137566147,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,intelligence_score,10,7,7,7,31,22,22,49.0,-0.14418622484659058,0.14976029332143437,-0.9627800643867596,14.285714285714285,-1.0036196666666668,1.073926984126984,-2.077546650793651,0.0,-3.7491673716931215,-0.715237417989418,0.015625,0.640625,NEGATIVE
CHOPPY,intelligence_score,20,7,7,7,31,22,18,40.09090909090909,-0.1529945082906951,0.13082780354139625,-1.1694342039632646,0.0,-2.060526095238095,1.9933214285714287,-4.053847523809524,0.0,-6.169565281746032,-2.305837458333333,0.015625,0.640625,NEGATIVE
CHOPPY,liquidity_score,1,7,7,7,31,22,22,49.0,0.03464741465648881,0.18815817998761536,0.1841398267073444,71.42857142857143,-0.4119077962242589,-0.5387536537999037,0.12684585757564493,57.14285714285714,-0.4242920545940915,0.7492468282085561,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,liquidity_score,5,7,7,7,31,22,22,49.0,-0.07418827902732025,0.06220997420740813,-1.192546371743805,14.285714285714285,-0.06460854008590618,0.2235105656479764,-0.2881191057338826,14.285714285714285,-0.7851120201303737,0.2664920911665627,0.125,1.0,NEGATIVE
CHOPPY,liquidity_score,10,7,7,7,31,22,22,49.0,-0.09306384450241202,0.14173908327581167,-0.6565856244555924,28.57142857142857,0.13621068336308884,1.006839796519618,-0.8706291131565292,57.14285714285714,-2.126543773145617,0.16362863411273618,1.0,1.0,WEAK_INCONSISTENT
CHOPPY,liquidity_score,20,7,7,7,31,22,18,40.09090909090909,-0.12612928285967914,0.13854552914096874,-0.9103814727312046,14.285714285714285,-0.20972548630670232,1.473098778860029,-1.6828242651667311,28.57142857142857,-3.2537177252856275,0.12394244867031858,0.453125,1.0,NEGATIVE
CHOPPY,momentum_score,1,7,7,7,31,22,22,49.0,0.05233836690827768,0.18401757274710506,0.28442048292967204,57.14285714285714,-0.3506530238095239,-0.946291798941799,0.595638775132275,57.14285714285714,-0.04412279351851864,1.3618858683862425,1.0,1.0,WEAK_INCONSISTENT
