scenario,factor_a,factor_b,state_a,state_b,qualifying_episodes,total_observations,dominant_outcome,dominant_consistency_pct,episodes_with_positive_uplift,episodes_with_positive_mean_return,mean_probability_uplift_pct,median_probability_uplift_pct,mean_return_5d,median_return_5d,min_episode_dominant_probability_pct,max_episode_dominant_probability_pct,decision,repeatability_score
LOW_VOL,relative_strength,momentum_score,LOW,LOW,2,172,UP,100.0,2,1,13.325034055656673,13.325034055656673,0.358965,0.6836249999999999,50.0,60.0,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,change_pct,relative_strength,LOW,LOW,2,162,UP,100.0,2,2,14.400709731332348,14.400709731332348,0.5686902486486486,0.73415,51.35135135135135,60.8,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,change_pct,intelligence_score,LOW,LOW,2,156,UP,100.0,2,1,12.182314672821573,12.182314672821573,0.2903748553519768,0.504775,47.05882352941176,60.65573770491803,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,intelligence_score,relative_strength,LOW,LOW,2,152,UP,100.0,2,2,12.752117388990005,12.752117388990005,0.3009335937499999,0.651875,54.166666666666664,54.6875,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,trend_score,liquidity_score,LOW,HIGH,2,140,UP,100.0,2,2,6.3368389640133085,6.3368389640133085,0.6379782075178627,0.41985,47.74774774774775,48.275862068965516,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,relative_strength,trend_score,LOW,LOW,2,130,UP,100.0,2,2,15.336829599562309,15.336829599562309,0.9369035823503713,0.6900999999999999,56.88073394495413,57.14285714285714,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,change_pct,trend_score,LOW,LOW,2,129,UP,100.0,2,2,15.998301382389348,15.998301382389348,0.7656025282885432,0.6679999999999999,50.0,65.34653465346535,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,intelligence_score,volatility_score,LOW,LOW,2,128,UP,100.0,2,2,8.824114696581287,8.824114696581287,0.22334183083793013,0.40169999999999995,45.67901234567901,55.319148936170215,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,trend_score,volatility_score,LOW,LOW,2,119,UP,100.0,2,2,8.16868633833335,8.16868633833335,0.6047897592245153,0.45389999999999997,43.58974358974359,56.09756097560976,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,volatility_score,liquidity_score,LOW,HIGH,2,112,UP,100.0,2,2,10.169080420250983,10.169080420250983,0.9312799789251845,0.6256999999999999,46.15384615384615,57.534246575342465,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,trend_score,momentum_score,HIGH,HIGH,2,111,UP,100.0,2,2,4.230206469449776,4.230206469449776,0.5950308189655173,0.16635,45.83333333333333,45.97701149425287,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,momentum_score,volatility_score,LOW,LOW,2,105,UP,100.0,2,1,10.709771734512001,10.709771734512001,0.29003529411764695,0.593475,45.94594594594595,58.82352941176471,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,change_pct,volatility_score,HIGH,LOW,2,94,UP,100.0,2,2,8.404609652473649,8.404609652473649,0.7738952785145888,0.5772,41.53846153846154,58.620689655172406,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,change_pct,liquidity_score,LOW,LOW,2,93,UP,100.0,2,1,12.537362822779965,12.537362822779965,0.29349352739726026,0.615925,53.42465753424658,55.00000000000001,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,relative_strength,volatility_score,HIGH,LOW,2,93,UP,100.0,2,2,8.131983862606479,8.131983862606479,0.7059425916988417,0.46165,42.857142857142854,56.75675675675676,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,momentum_score,liquidity_score,HIGH,LOW,2,91,UP,100.0,2,2,3.7475692669242804,3.7475692669242804,0.16542640845070422,0.2451,40.845070422535215,50.0,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,relative_strength,volatility_score,LOW,LOW,2,90,UP,100.0,2,2,13.027057019024639,13.027057019024639,0.3785239748496446,0.6256999999999999,48.38709677419355,61.016949152542374,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,change_pct,volatility_score,LOW,LOW,2,89,UP,100.0,2,1,15.684008414631034,15.684008414631034,0.43417279487179483,0.651825,48.717948717948715,66.0,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,intelligence_score,momentum_score,HIGH,HIGH,2,87,DOWN,100.0,2,1,2.4609885632757287,2.4609885632757287,0.3827743506493506,0.035575,42.857142857142854,45.45454545454545,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,momentum_score,volatility_score,HIGH,LOW,2,78,UP,100.0,2,2,10.246791090660107,10.246791090660107,0.8738267673301304,0.7905500000000001,42.5531914893617,61.29032258064516,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,volatility_score,liquidity_score,LOW,LOW,2,71,UP,100.0,2,1,10.788088242848792,10.788088242848792,-0.09491108374384238,0.400475,42.857142857142854,62.06896551724138,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,trend_score,volatility_score,HIGH,LOW,2,64,UP,100.0,2,1,17.534243264865886,17.534243264865886,0.5979583083083085,1.0443,48.148148148148145,70.27027027027027,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,intelligence_score,volatility_score,HIGH,LOW,2,55,UP,100.0,2,2,15.958087276945191,15.958087276945191,1.344962324929972,1.0064250000000001,47.61904761904761,67.64705882352942,INSUFFICIENT_EPISODES,0.2222222222222222
LOW_VOL,intelligence_score,trend_score,LOW,LOW,2,239,UP,50.0,2,1,10.910662689179365,10.910662689179365,0.25618361631537856,0.20227499999999998,48.214285714285715,51.36612021857923,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,intelligence_score,momentum_score,LOW,LOW,2,200,UP,50.0,2,1,13.652105292367144,13.652105292367144,0.16155417420132603,0.03487499999999999,50.0,55.06329113924051,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,trend_score,volatility_score,HIGH,LOW,1,196,UP,100.0,1,1,36.56462585034014,36.56462585034014,2.4330688775510203,2.50145,69.89795918367348,69.89795918367348,INSUFFICIENT_EPISODES,0.1111111111111111
