scenario,factor,horizon_days,global_oos_fold_count,oos_fold_count,oos_finite_ic_folds,regime_total_dates,regime_oos_dates,oos_mean_ic,oos_ic_std,oos_icir,oos_positive_ic_fold_pct,mean_quintile_spread,positive_spread_fold_pct,bootstrap_95ci_low,bootstrap_95ci_high,raw_sign_test_p_value,adjusted_p_value,evidence_classification
TREND_DOWN,volatility_score,10,7,7,7,82,66,-0.11549545570360216,0.1573645325109654,-0.7339357468974418,28.57142857142857,-1.7245426088293228,16.666666666666664,-3.3482028253114478,0.29887936647168295,0.21875,0.875,INCONSISTENT_OOS_EVIDENCE
TREND_DOWN,volatility_score,20,7,7,7,82,66,-0.12479058328167048,0.18093824036112086,-0.6896860665418789,28.57142857142857,-2.1536979104010334,33.33333333333333,-4.693963397920821,0.6552041249392045,0.6875,1.0,WEAK_OOS_EVIDENCE
TREND_UP,intelligence_score,1,7,7,7,82,42,-0.06071372102866985,0.17249514661749063,-0.3519735031345723,28.57142857142857,-0.6420428425375398,28.57142857142857,-1.3768781845420675,-0.03492224309692473,0.453125,1.0,WEAK_OOS_EVIDENCE
TREND_UP,intelligence_score,5,7,7,7,82,42,-0.12497618584527725,0.1271235484155234,-0.9831080661528803,14.285714285714285,-1.939019216878884,14.285714285714285,-3.022533691435119,-0.7110304985763621,0.125,0.875,INCONSISTENT_OOS_EVIDENCE
TREND_UP,intelligence_score,10,7,7,7,82,42,-0.06713577920646667,0.126108890491989,-0.5323635704394007,28.57142857142857,-1.7565699742705785,14.285714285714285,-3.330642104083233,-0.02686560227910917,0.125,0.875,INCONSISTENT_OOS_EVIDENCE
TREND_UP,intelligence_score,20,7,7,7,82,42,-0.11389283517823039,0.14389620242788073,-0.7914929876993264,28.57142857142857,-3.9356366547908928,28.57142857142857,-7.048184461756743,-0.634546325532338,0.453125,1.0,WEAK_OOS_EVIDENCE
TREND_UP,trend_score,1,7,7,7,82,42,-0.06962758052408403,0.1093492544567341,-0.6367449039319548,28.57142857142857,,,,,,,WEAK_OOS_EVIDENCE
TREND_UP,trend_score,5,7,7,7,82,42,-0.15255703549190894,0.16280850422488635,-0.937033579530851,14.285714285714285,,,,,,,WEAK_OOS_EVIDENCE
TREND_UP,trend_score,10,7,7,7,82,42,-0.0689668625100114,0.1757123721609033,-0.39249861385319573,42.857142857142854,,,,,,,WEAK_OOS_EVIDENCE
TREND_UP,trend_score,20,7,7,7,82,42,-0.10270146373650187,0.12978451062397747,-0.7913229648340481,14.285714285714285,,,,,,,WEAK_OOS_EVIDENCE
TREND_UP,volatility_score,1,7,7,7,82,42,0.018162348166918134,0.11525113811447335,0.15758931724282285,42.857142857142854,-0.05404443463501905,80.0,-0.3369793403196863,0.11572939576271643,0.375,1.0,WEAK_OOS_EVIDENCE
TREND_UP,volatility_score,5,7,7,7,82,42,-0.046123044163132156,0.19647331958881742,-0.23475474562988613,57.14285714285714,-0.25579194153431223,40.0,-1.401619712435802,1.0948251189846638,1.0,1.0,WEAK_OOS_EVIDENCE
TREND_UP,volatility_score,10,7,7,7,82,42,-0.08320386428917917,0.22110724828708975,-0.3763054577982253,42.857142857142854,-1.1180872337173684,20.0,-2.7913357855598795,0.9020285262014852,0.375,1.0,INCONSISTENT_OOS_EVIDENCE
TREND_UP,volatility_score,20,7,7,7,82,42,-0.08698454045187688,0.13555467864045798,-0.6416933839856064,28.57142857142857,-3.2666587112857597,0.0,-5.091812498930006,-1.4970280207328828,0.0625,0.875,INCONSISTENT_OOS_EVIDENCE
