episode_id,test_start,test_end,scenario,factor_a,factor_b,state_a,state_b,observations,dominant_outcome,dominant_probability_pct,baseline_probability_pct,probability_uplift_pct,mean_return_5d,median_return_5d,down_pct,flat_pct,up_pct
1,2025-12-03,2025-12-31,CHOPPY,change_pct,intelligence_score,LOW,LOW,23,DOWN,52.17391304347826,41.07744107744108,11.09647196603718,-0.2638565217391305,-0.6061,52.17391304347826,13.043478260869565,34.78260869565217
1,2025-12-03,2025-12-31,CHOPPY,change_pct,intelligence_score,HIGH,LOW,65,UP,47.69230769230769,43.09764309764309,4.594664594664599,0.3816338461538462,0.3503,38.46153846153847,13.846153846153847,47.69230769230769
1,2025-12-03,2025-12-31,CHOPPY,change_pct,intelligence_score,HIGH,HIGH,54,DOWN,44.44444444444444,41.07744107744108,3.367003367003363,-0.6527870370370371,-0.03695,44.44444444444444,12.962962962962962,42.592592592592595
1,2025-12-03,2025-12-31,FLAT,change_pct,intelligence_score,LOW,LOW,20,FLAT,40.0,19.801980198019802,20.198019801980198,-0.06234500000000006,-0.4296,35.0,40.0,25.0
1,2025-12-03,2025-12-31,LOW_VOL,change_pct,intelligence_score,LOW,LOW,122,UP,60.65573770491803,39.63963963963964,21.016098065278392,0.9116114754098361,0.9801,16.39344262295082,22.950819672131146,60.65573770491803
1,2025-12-03,2025-12-31,LOW_VOL,change_pct,intelligence_score,LOW,HIGH,34,UP,58.82352941176471,39.63963963963964,19.183889772125067,1.1641205882352939,0.6124,23.52941176470588,17.647058823529413,58.82352941176471
1,2025-12-03,2025-12-31,LOW_VOL,change_pct,intelligence_score,HIGH,LOW,116,UP,37.93103448275862,39.63963963963964,-1.7086051568810212,0.017421551724137927,0.004699999999999999,35.3448275862069,26.72413793103448,37.93103448275862
1,2025-12-03,2025-12-31,LOW_VOL,change_pct,intelligence_score,HIGH,HIGH,71,DOWN,42.25352112676056,45.27027027027027,-3.0167491435097062,0.9249338028169014,0.1018,42.25352112676056,15.492957746478872,42.25352112676056
1,2025-12-03,2025-12-31,TREND_DOWN,change_pct,intelligence_score,LOW,LOW,134,UP,52.98507462686567,53.9553752535497,-0.9703006266840286,0.337002985074627,0.5870500000000001,29.850746268656714,17.16417910447761,52.98507462686567
1,2025-12-03,2025-12-31,TREND_DOWN,change_pct,intelligence_score,LOW,HIGH,53,UP,39.62264150943396,53.9553752535497,-14.332733744115734,0.09236226415094337,-0.1084,30.18867924528302,30.18867924528302,39.62264150943396
1,2025-12-03,2025-12-31,TREND_DOWN,change_pct,intelligence_score,HIGH,LOW,60,UP,48.333333333333336,53.9553752535497,-5.622041920216364,0.7154383333333333,0.4084,30.0,21.666666666666668,48.333333333333336
1,2025-12-03,2025-12-31,TREND_DOWN,change_pct,intelligence_score,HIGH,HIGH,47,DOWN,48.93617021276596,30.223123732251523,18.713046480514432,-0.3593510638297873,-0.2724,48.93617021276596,21.27659574468085,29.78723404255319
1,2025-12-03,2025-12-31,TREND_UP,change_pct,intelligence_score,LOW,LOW,53,UP,52.83018867924528,45.864197530864196,6.965991148381084,0.40751320754716996,0.7063,24.528301886792452,22.641509433962266,52.83018867924528
