primary_scenario,factor,factor_state,observations,scenario_dates,symbols,positive_5d_pct,mean_return_5d,median_return_5d,worst_return_5d,best_return_5d,scenario_baseline_observations,scenario_baseline_positive_5d_pct,scenario_baseline_mean_return_5d,global_baseline_observations,global_baseline_positive_5d_pct,global_baseline_mean_return_5d,positive_rate_lift_vs_scenario,mean_return_lift_vs_scenario,positive_rate_lift_vs_global,mean_return_lift_vs_global,predictive_strength_status,predictive_strength_reason
TREND_UP,intelligence_score,LOW,4,4,1,25.0,-3.349075,-5.76735,-9.9033,8.0417,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,-25.613128155806685,-3.4193078203895166,-25.851679254378915,-3.4968711754780655,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
TREND_UP,volatility_score,LOW,4,4,1,25.0,-3.349075,-5.76735,-9.9033,8.0417,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,-25.613128155806685,-3.4193078203895166,-25.851679254378915,-3.4968711754780655,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
LOW_VOL,volatility_score,LOW,1,1,1,0.0,-3.8142,-3.8142,-3.8142,-3.8142,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,-52.721088435374156,-3.963293537414966,-50.851679254378915,-3.961996175478065,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
LOW_VOL,momentum_score,VERY_HIGH,1,1,1,0.0,-4.5636,-4.5636,-4.5636,-4.5636,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,-52.721088435374156,-4.712693537414966,-50.851679254378915,-4.7113961754780656,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
TREND_UP,volatility_score,MEDIUM,4,4,1,0.0,-4.83505,-4.6095,-8.8061,-1.3151,4159,50.613128155806685,0.07023282038951671,12446,50.851679254378915,0.14779617547806523,-50.613128155806685,-4.905282820389517,-50.851679254378915,-4.982846175478065,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
FLAT,intelligence_score,LOW,2,2,1,0.0,-5.1516,-5.1516,-7.1436,-3.1596,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,-52.721088435374156,-5.259921428571428,-50.851679254378915,-5.299396175478066,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
FLAT,volatility_score,LOW,2,2,1,0.0,-5.1516,-5.1516,-7.1436,-3.1596,294,52.721088435374156,0.10832142857142855,12446,50.851679254378915,0.14779617547806523,-52.721088435374156,-5.259921428571428,-50.851679254378915,-5.299396175478066,INSUFFICIENT,Conditional relationship has fewer than 30 observations.
HIGH_VOL,momentum_score,HIGH,85,5,42,69.41176470588235,2.073738823529412,2.3364,-5.6835,11.47,245,73.87755102040816,2.284386530612245,12446,50.851679254378915,0.14779617547806523,-4.465786314525815,-0.21064770708283298,18.560085451503433,1.9259426480513466,NEGATIVE,Meaningful negative lift versus the scenario baseline.
LOW_VOL,trend_score,VERY_HIGH,443,18,49,48.75846501128668,-0.0651726862302483,-0.0185,-30.1183,12.8949,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,-3.962623424087475,-0.2142662236452143,-2.093214243092234,-0.21296886170831353,NEGATIVE,Meaningful negative lift versus the scenario baseline.
LOW_VOL,liquidity_score,HIGH,283,18,22,49.82332155477032,-0.0760989399293286,-0.0062,-30.1183,10.196,882,52.721088435374156,0.149093537414966,12446,50.851679254378915,0.14779617547806523,-2.8977668806038395,-0.2251924773442946,-1.0283576996085984,-0.22389511540739382,NEGATIVE,Meaningful negative lift versus the scenario baseline.
