candidate,scenario,factor_a,state_a,factor_b,state_b,total_candidate_observations,total_scenario_episodes,episodes_with_candidate,episode_coverage_pct,qualifying_episodes_ge_20,max_episode_observations,mean_observations_per_occupied_episode,median_observations_per_occupied_episode,max_episode_concentration_pct,episode_observation_distribution,coverage_gate,strict_episode_gate,research_status
TREND_UP|trend_score=HIGH|momentum_score=HIGH,TREND_UP,trend_score,HIGH,momentum_score,HIGH,49,19,13,68.42105263157895,0,13,3.769230769230769,3.0,26.53061224489796,"1,1,1,2,2,3,3,3,5,5,5,5,13",PASS,FAIL,RECURRENT_BUT_SPARSE
TREND_UP|relative_strength=HIGH|trend_score=HIGH,TREND_UP,relative_strength,HIGH,trend_score,HIGH,0,19,0,0.0,0,0,0.0,0.0,0.0,,FAIL,FAIL,NO_HISTORICAL_EVIDENCE
TREND_UP|change_pct=HIGH|trend_score=HIGH,TREND_UP,change_pct,HIGH,trend_score,HIGH,0,19,0,0.0,0,0,0.0,0.0,0.0,,FAIL,FAIL,NO_HISTORICAL_EVIDENCE
TREND_UP|trend_score=HIGH|volatility_score=HIGH,TREND_UP,trend_score,HIGH,volatility_score,HIGH,64,19,12,63.1578947368421,0,12,5.333333333333333,4.0,18.75,"1,1,2,3,4,4,4,5,7,9,12,12",PASS,FAIL,RECURRENT_BUT_SPARSE
TREND_UP|trend_score=HIGH|volatility_score=LOW,TREND_UP,trend_score,HIGH,volatility_score,LOW,0,19,0,0.0,0,0,0.0,0.0,0.0,,FAIL,FAIL,NO_HISTORICAL_EVIDENCE
TREND_UP|intelligence_score=HIGH|trend_score=HIGH,TREND_UP,intelligence_score,HIGH,trend_score,HIGH,133,19,16,84.21052631578947,1,26,8.3125,7.0,19.548872180451127,"1,1,2,2,2,5,6,7,7,8,8,10,14,15,19,26",PASS,FAIL,RECURRENT_BUT_SPARSE
