scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,oos_windows,oos_gap_to_10,oos_gap_to_20,evidence_status,coverage_status,eligibility_status,research_priority,recommended_action
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_BASELINE_FAILURE,28,5,5,15,EARLY,EVIDENCE_PRESENT,EVIDENCE_PRESENT_EARLY,HIGH,CONTINUE_OOS
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_CONDITIONAL_SCORE,28,5,5,15,EARLY,EVIDENCE_PRESENT,EVIDENCE_PRESENT_EARLY,HIGH,CONTINUE_OOS
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_B_FACTOR_AGREEMENT,28,5,5,15,EARLY,EVIDENCE_PRESENT,EVIDENCE_PRESENT_EARLY,HIGH,CONTINUE_OOS
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_BASELINE_FAILURE,10,5,5,15,EARLY,EVIDENCE_PRESENT,EVIDENCE_PRESENT_EARLY,HIGH,CONTINUE_OOS
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_CONDITIONAL_SCORE,10,5,5,15,EARLY,EVIDENCE_PRESENT,EVIDENCE_PRESENT_EARLY,HIGH,CONTINUE_OOS
UNEXPLORED_33,TREND_DOWN,988b3f1605642100,TRACK_B_FACTOR_AGREEMENT,10,5,5,15,EARLY,EVIDENCE_PRESENT,EVIDENCE_PRESENT_EARLY,HIGH,CONTINUE_OOS
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_C_FACTOR_INTERACTION,28,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_C_REGIME_AWARE,28,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_20,TREND_DOWN,d59364ccfbbaa9f5,TRACK_C_SCENARIO_WEAPON,28,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_BASELINE_FAILURE,25,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_CONDITIONAL_SCORE,25,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_B_FACTOR_AGREEMENT,25,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_FACTOR_INTERACTION,25,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_REGIME_AWARE,25,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_15,TREND_UP,39cd5fd0b3c726a8,TRACK_C_SCENARIO_WEAPON,25,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_B_BASELINE_FAILURE,23,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_B_CONDITIONAL_SCORE,23,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_B_FACTOR_AGREEMENT,23,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_C_FACTOR_INTERACTION,23,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_C_REGIME_AWARE,23,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_16,TREND_UP,ee5597a108fed5c1,TRACK_C_SCENARIO_WEAPON,23,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,HIGH,START_OOS_RESEARCH
UNEXPLORED_17,CHOPPY,3c9f74d9ff46c9aa,TRACK_B_BASELINE_FAILURE,15,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,MEDIUM,START_OOS_RESEARCH
UNEXPLORED_17,CHOPPY,3c9f74d9ff46c9aa,TRACK_B_CONDITIONAL_SCORE,15,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,MEDIUM,START_OOS_RESEARCH
UNEXPLORED_17,CHOPPY,3c9f74d9ff46c9aa,TRACK_B_FACTOR_AGREEMENT,15,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,MEDIUM,START_OOS_RESEARCH
UNEXPLORED_17,CHOPPY,3c9f74d9ff46c9aa,TRACK_C_FACTOR_INTERACTION,15,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,MEDIUM,START_OOS_RESEARCH
UNEXPLORED_17,CHOPPY,3c9f74d9ff46c9aa,TRACK_C_REGIME_AWARE,15,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,MEDIUM,START_OOS_RESEARCH
UNEXPLORED_17,CHOPPY,3c9f74d9ff46c9aa,TRACK_C_SCENARIO_WEAPON,15,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,MEDIUM,START_OOS_RESEARCH
UNEXPLORED_21,TREND_DOWN,e3647c9a4d3c5632,TRACK_B_BASELINE_FAILURE,12,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,MEDIUM,START_OOS_RESEARCH
UNEXPLORED_21,TREND_DOWN,e3647c9a4d3c5632,TRACK_B_CONDITIONAL_SCORE,12,0,10,20,UNAVAILABLE,NO_WEAPON_EVIDENCE,RESEARCHABLE_NO_EVIDENCE,MEDIUM,START_OOS_RESEARCH
