trade_date,index_name,sector,scenario,scenario_id,fingerprint,change_pct,intelligence_score,relative_strength,trend_score,momentum_score,volatility_score,liquidity_score,return_5d,direction_5d
2025-09-05,M&M.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,2.29,71.25,2.26,100.0,73.98,100.0,80.0,0.8031,UP
2025-09-05,MARUTI.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,1.59,63.8,1.56,100.0,57.46,100.0,60.0,2.8869,UP
2025-09-05,NESTLEIND.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.34,64.27,-0.37,100.0,51.33,100.0,70.0,0.753,UP
2025-09-05,NTPC.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.41,57.19,-0.44,50.0,45.94,100.0,90.0,0.9127,UP
2025-09-05,ONGC.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.67,60.99,-0.7,70.0,44.97,100.0,90.0,-0.3759,FLAT
2025-09-05,POWERGRID.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,1.26,67.47,1.23,80.0,56.11,100.0,100.0,0.806,UP
2025-09-05,RELIANCE.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,1.16,61.31,1.13,50.0,55.43,100.0,100.0,1.4545,UP
2025-09-05,SBILIFE.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.79,52.61,0.76,50.0,52.28,100.0,60.0,1.3793,UP
2025-09-05,SBIN.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.35,57.79,-0.38,50.0,48.93,100.0,90.0,2.1014,UP
2025-09-05,SHRIRAMFIN.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,1.14,59.49,1.11,50.0,56.34,100.0,90.0,6.8101,UP
2025-09-05,SUNPHARMA.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.71,57.01,0.68,50.0,54.37,100.0,80.0,1.4433,UP
2025-09-05,TATACONSUM.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.12,59.63,0.09,90.0,48.08,100.0,60.0,2.9373,UP
2025-09-05,TATASTEEL.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,0.52,72.44,0.49,100.0,61.72,100.0,100.0,1.2524,UP
2025-09-05,TCS.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-1.53,58.24,-1.56,70.0,41.2,100.0,80.0,2.7917,UP
2025-09-05,TECHM.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-1.5,56.26,-1.53,70.0,41.31,100.0,70.0,3.2208,UP
2025-09-05,TRENT.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.01,58.8,-0.04,80.0,53.98,100.0,60.0,-7.2081,DOWN
2025-09-05,ULTRACEMCO.NS,,FLAT,UNEXPLORED_13,4d0babae7f4495ea,-0.4,57.42,-0.43,100.0,47.08,100.0,40.0,-1.8332,DOWN
2025-09-08,ADANIENT.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,1.29,56.02,1.16,80.0,56.56,82.37,60.0,3.1373,UP
2025-09-08,ADANIPORTS.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,2.0,61.61,1.87,80.0,59.68,86.48,80.0,3.4785,UP
2025-09-08,APOLLOHOSP.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.23,57.97,-0.36,100.0,50.2,79.63,60.0,0.3853,FLAT
2025-09-08,ASIANPAINT.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-1.9,59.8,-2.03,100.0,41.0,87.98,70.0,-1.1143,DOWN
2025-09-08,AXISBANK.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.04,56.16,-0.17,50.0,49.56,91.26,90.0,4.6329,UP
2025-09-08,BAJAJ-AUTO.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,3.84,59.7,3.71,100.0,71.77,83.04,40.0,-4.3303,DOWN
2025-09-08,BAJAJFINSV.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.3,62.11,-0.43,100.0,52.5,88.06,70.0,3.565,UP
2025-09-08,BAJFINANCE.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.71,66.67,0.58,100.0,61.16,81.6,90.0,6.9416,UP
2025-09-08,BEL.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.3,61.61,0.17,70.0,49.11,88.79,100.0,7.139,UP
2025-09-08,BHARTIARTL.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.4,59.56,-0.53,70.0,48.1,89.7,90.0,0.89,UP
2025-09-08,BPCL.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,1.26,60.92,1.13,70.0,55.8,87.68,90.0,0.4108,FLAT
2025-09-08,BRITANNIA.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.65,56.53,0.52,100.0,58.91,83.2,40.0,1.578,UP
2025-09-08,CIPLA.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.79,54.24,-0.92,70.0,43.0,88.2,70.0,0.4607,FLAT
2025-09-08,COALINDIA.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-1.43,60.81,-1.56,80.0,44.91,89.14,90.0,1.9894,UP
2025-09-08,DRREDDY.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-1.38,53.96,-1.51,70.0,42.46,87.35,70.0,4.0141,UP
2025-09-08,EICHERMOT.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,3.56,65.31,3.43,100.0,75.81,87.31,60.0,-0.2054,FLAT
2025-09-08,ETERNAL.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.15,67.99,0.02,100.0,53.08,86.86,100.0,-1.9263,DOWN
2025-09-08,GRASIM.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.0,59.63,-0.13,100.0,50.81,87.34,60.0,-0.0606,FLAT
2025-09-08,HCLTECH.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-1.13,51.29,-1.26,50.0,38.88,87.57,80.0,4.526,UP
2025-09-08,HDFCBANK.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.27,58.95,0.14,50.0,52.77,91.84,100.0,0.1087,FLAT
2025-09-08,HDFCLIFE.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.76,52.39,-0.89,50.0,42.14,89.83,80.0,3.1111,UP
2025-09-08,HEROMOTOCO.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,1.49,62.63,1.36,100.0,60.08,81.7,70.0,-2.8385,DOWN
2025-09-08,HINDALCO.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.68,64.14,-0.81,100.0,48.28,82.43,90.0,2.0169,UP
2025-09-08,HINDUNILVR.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.36,56.61,-0.49,80.0,46.62,86.41,70.0,-1.635,DOWN
2025-09-08,ICICIBANK.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.01,56.63,-0.14,50.0,49.91,93.22,90.0,1.1906,UP
2025-09-08,INDUSINDBK.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.83,55.98,-0.96,70.0,44.2,85.7,80.0,-1.4452,DOWN
2025-09-08,INFY.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,-0.81,57.18,-0.94,70.0,41.44,84.47,90.0,5.269,UP
2025-09-08,ITC.NS,,TREND_UP,UNEXPLORED_14,0488aa61a160ea49,0.05,61.83,-0.08,70.0,49.62,89.53,100.0,1.2514,UP
