trade_date,candidate,scenario_id,primary_scenario,fingerprint,spread
2026-03-23,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-2.2888444444444445
2026-03-24,TRACK_B_BASELINE_FAILURE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,1.0231000000000001
2026-03-24,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,0.92215
2026-03-24,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,0.8035888888888891
2026-03-25,TRACK_B_BASELINE_FAILURE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,1.43446
2026-03-25,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,1.43446
2026-03-25,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,1.505255555555555
2026-03-27,TRACK_B_BASELINE_FAILURE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,0.3878300000000001
2026-03-27,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,0.3878300000000001
2026-03-27,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,2.0187222222222223
2026-03-30,TRACK_B_BASELINE_FAILURE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-4.15775
2026-03-30,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-4.43919
2026-03-30,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-4.607377777777778
2026-04-01,TRACK_B_BASELINE_FAILURE,UNEXPLORED_36,TREND_UP,92a560e6db252f77,-1.1017600000000005
2026-04-01,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_36,TREND_UP,92a560e6db252f77,-0.9485299999999999
2026-04-01,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_36,TREND_UP,92a560e6db252f77,-0.8651666666666671
2026-04-02,TRACK_B_BASELINE_FAILURE,UNEXPLORED_37,TREND_DOWN,d247e2b79d79bbff,-4.39952
2026-04-02,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_37,TREND_DOWN,d247e2b79d79bbff,-3.7979700000000003
2026-04-02,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_37,TREND_DOWN,d247e2b79d79bbff,-5.756211111111113
2026-04-06,TRACK_B_BASELINE_FAILURE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-2.535099999999999
2026-04-06,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-1.0489700000000002
2026-04-06,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_33,TREND_DOWN,988b3f1605642100,-1.8924333333333334
2026-04-07,TRACK_B_BASELINE_FAILURE,UNEXPLORED_38,TREND_UP,ec5942bbf1e99e3c,-3.9978799999999994
2026-04-07,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_38,TREND_UP,ec5942bbf1e99e3c,-3.9978799999999994
2026-04-07,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_38,TREND_UP,ec5942bbf1e99e3c,-5.564688888888888
2026-04-08,TRACK_B_BASELINE_FAILURE,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,-0.3843399999999999
2026-04-08,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,-0.6635099999999998
2026-04-08,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,-0.45053333333333323
2026-04-09,TRACK_B_BASELINE_FAILURE,UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,0.20871999999999913
2026-04-09,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,0.23395999999999928
2026-04-09,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,-0.9007111111111108
2026-04-10,TRACK_B_BASELINE_FAILURE,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,0.5242900000000001
2026-04-10,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,0.16521999999999992
2026-04-10,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,1.443866666666667
2026-04-13,TRACK_B_BASELINE_FAILURE,UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,1.1323400000000006
2026-04-13,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,1.1323400000000006
2026-04-13,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,0.2545555555555552
2026-04-15,TRACK_B_BASELINE_FAILURE,UNEXPLORED_41,HIGH_VOL,3ae33daf9fd2cc89,0.4870300000000002
2026-04-15,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_41,HIGH_VOL,3ae33daf9fd2cc89,1.2761900000000002
2026-04-15,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_41,HIGH_VOL,3ae33daf9fd2cc89,1.2276555555555557
2026-04-16,TRACK_B_BASELINE_FAILURE,UNEXPLORED_42,TREND_UP,58890405cc7b814b,-0.6713499999999997
2026-04-16,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_42,TREND_UP,58890405cc7b814b,-0.6713499999999997
2026-04-16,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_42,TREND_UP,58890405cc7b814b,-0.9474888888888893
2026-04-17,TRACK_B_BASELINE_FAILURE,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-0.9058699999999997
2026-04-17,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-0.6259399999999999
2026-04-17,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,0.7284444444444444
2026-04-20,TRACK_B_BASELINE_FAILURE,UNEXPLORED_42,TREND_UP,58890405cc7b814b,-1.84693
2026-04-20,TRACK_B_CONDITIONAL_SCORE,UNEXPLORED_42,TREND_UP,58890405cc7b814b,-1.95007
2026-04-20,TRACK_B_FACTOR_AGREEMENT,UNEXPLORED_42,TREND_UP,58890405cc7b814b,-0.8180888888888885
2026-04-21,TRACK_B_BASELINE_FAILURE,UNEXPLORED_43,TREND_UP,4118ac72c4d880f1,-0.9648400000000001
