scenario,feature,observations,down_mean,flat_mean,up_mean,class_separation,return_5d_correlation
CHOPPY,liquidity_score,1519,80.30434782608695,79.77272727272727,77.63546798029557,2.6688798457913805,-0.05954486425170417
CHOPPY,momentum_score,1519,51.01026086956522,51.17181818181818,49.553234811165844,1.6185833706523383,-0.059762395472408976
CHOPPY,volatility_score,1519,84.69552173913044,86.3125,85.00937602627258,1.6169782608695584,0.02053986655882933
CHOPPY,intelligence_score,1519,58.55244927536232,59.012136363636365,57.89665024630541,1.1154861173309527,-0.06087172717461184
CHOPPY,trend_score,1519,76.20289855072464,77.27272727272727,76.83087027914614,1.069828722002626,-0.014642810925773048
CHOPPY,change_pct,1519,0.22392753623188405,0.23536363636363636,-0.10195402298850574,0.3373176593521421,-0.08266955100791445
CHOPPY,relative_strength,1519,0.09921739130434784,0.17072727272727273,-0.0419047619047619,0.21263203463203462,-0.022394701034447934
FLAT,trend_score,294,78.01724137931035,74.0,77.96747967479675,4.017241379310349,0.045887454953286146
FLAT,volatility_score,294,88.01008620689655,89.70145454545454,91.27723577235773,3.2671495654611817,0.21109337683964077
FLAT,liquidity_score,294,77.32758620689656,78.72727272727273,75.9349593495935,2.7923133776792355,-8.848149502364392e-05
FLAT,momentum_score,294,50.436551724137935,50.188909090909085,51.34260162601626,1.1536925351071758,0.1292636225859901
FLAT,intelligence_score,294,58.84284482758621,58.57272727272727,59.38341463414634,0.8106873614190704,0.12255158066682768
FLAT,change_pct,294,-0.2726724137931035,-0.2089090909090909,0.07178861788617885,0.3444610316792823,0.17652168579114372
FLAT,relative_strength,294,-0.2247413793103448,-0.16472727272727275,0.0865040650406504,0.3112454443509952,0.17076275640665722
HIGH_VOL,liquidity_score,245,85.1923076923077,75.9090909090909,81.87134502923976,9.283216783216787,-0.035807035649814405
HIGH_VOL,trend_score,245,85.38461538461539,78.63636363636364,83.50877192982456,6.748251748251747,0.11757233342432744
HIGH_VOL,momentum_score,245,62.088269230769235,63.73409090909092,58.08251461988304,5.651576289207874,-0.12240439608588298
HIGH_VOL,intelligence_score,245,62.21903846153846,59.38636363636363,60.06555555555555,2.832674825174827,-0.04990442986627584
HIGH_VOL,volatility_score,245,77.51557692307692,77.67363636363636,76.19181286549707,1.481823498139292,-0.10731673526837499
HIGH_VOL,change_pct,245,1.5809615384615385,1.9286363636363637,0.7021637426900584,1.2264726209463053,-0.16291114802161072
HIGH_VOL,relative_strength,245,0.2276923076923077,0.19590909090909084,-0.03309941520467834,0.26079172289698604,-0.021809908514598523
LOW_VOL,trend_score,882,78.1686046511628,74.37086092715232,73.72093023255815,4.447674418604649,-0.08442811132267926
LOW_VOL,intelligence_score,882,58.888023255813955,58.17278145695364,57.66403100775194,1.223992248062018,-0.05100489782510686
LOW_VOL,liquidity_score,882,77.23837209302326,76.82119205298014,76.27906976744185,0.9593023255814046,0.01508773814061315
LOW_VOL,momentum_score,882,50.31316860465116,50.44940397350993,49.53105943152455,0.918344541985384,-0.010281606198039087
LOW_VOL,volatility_score,882,88.23941860465116,88.79198675496689,88.42077519379843,0.5525681503157216,0.003826481623017848
LOW_VOL,change_pct,882,-0.0049127906976744184,0.025099337748344375,-0.09488372093023255,0.11998305867857692,0.002297560579870397
LOW_VOL,relative_strength,882,0.11668604651162791,0.053509933774834435,0.018914728682170538,0.09777131782945737,-0.020481966408977315
TREND_DOWN,trend_score,4018,70.04648460197559,72.93542074363992,71.92609182530795,2.888936141664331,0.006315852630359335
TREND_DOWN,volatility_score,4018,84.31686228936665,85.63913894324853,84.21005039193729,1.4290885513112386,-0.038864649099127624
TREND_DOWN,liquidity_score,4018,78.47762928529924,79.11937377690802,79.73684210526316,1.2592128199639205,0.045157289497510245
TREND_DOWN,intelligence_score,4018,56.102382335851246,56.94894324853229,56.62964725643897,0.846560912681042,0.015756250660480028
TREND_DOWN,momentum_score,4018,47.101975595583966,46.56506849315068,46.77053751399776,0.5369071024332825,-0.01937359949936913
TREND_DOWN,change_pct,4018,-0.25097036606624057,-0.42684931506849316,-0.41222844344904813,0.1758789490022526,-0.0452457973293202
TREND_DOWN,relative_strength,4018,0.09436955258570598,-0.038630136986301376,-0.057150055991041435,0.1515196085767474,-0.041699174305376736
TREND_UP,liquidity_score,4012,79.45335710041593,76.26485568760611,78.83908045977012,3.1885014128098135,-0.02362505026097599
TREND_UP,trend_score,4012,81.83006535947712,81.17147707979626,78.69540229885058,3.1346630606265364,-0.09793238609427199
TREND_UP,volatility_score,4012,84.94708853238265,86.4532767402377,85.51837931034483,1.5061882078550468,0.021514661649555098
TREND_UP,intelligence_score,4012,59.9325193107546,59.51799660441426,59.35304022988505,0.5794790808695467,-0.06900850910894794
TREND_UP,momentum_score,4012,52.95100415923945,53.23225806451613,53.22312643678161,0.28125390527667804,0.02378505288530206
TREND_UP,change_pct,4012,0.26238265002970884,0.3767911714770798,0.4002126436781609,0.13782999364845205,0.047533174044653806
TREND_UP,relative_strength,4012,0.01536541889483066,0.046943972835314096,0.030764367816091955,0.031578553940483436,0.005274911894786434
