bucket,Trades,WinRate,AvgReturn,MedianReturn,StdDev,BestReturn,WorstReturn
"(-33.050999999999995, -1.0]",2358,53.44,0.57,0.46,7.47,36.93,-40.13
"(-1.0, -0.28]",2355,51.0,0.04,0.1,6.96,35.52,-40.1
"(-0.28, 0.26]",2328,50.6,0.15,0.08,6.5,23.13,-41.57
"(0.26, 1.01]",2332,48.16,-0.22,-0.3,6.87,26.6,-36.37
"(1.01, 10.38]",2338,50.81,0.25,0.16,7.43,30.71,-40.88
