bucket,Trades,WinRate,AvgReturn,MedianReturn,StdDev,BestReturn,WorstReturn
"(-10.651, -0.742]",2346,53.88,0.62,0.55,7.57,36.93,-34.03
"(-0.742, -0.208]",2340,51.24,0.21,0.15,6.77,35.52,-38.78
"(-0.208, 0.215]",2343,49.94,0.05,-0.03,6.64,26.5,-41.57
"(0.215, 0.795]",2340,48.59,-0.41,-0.19,6.95,24.24,-40.13
"(0.795, 10.38]",2342,50.38,0.34,0.07,7.3,30.71,-40.43
