bucket,Trades,WinRate,AvgReturn,MedianReturn,StdDev,BestReturn,WorstReturn
"(3.979, 34.694]",2365,51.59,0.18,0.21,7.44,36.93,-40.13
"(34.694, 45.306]",2328,50.69,0.21,0.1,6.88,35.52,-41.57
"(45.306, 55.306]",2338,52.31,0.42,0.37,7.11,26.5,-40.88
"(55.306, 66.939]",2347,50.36,0.01,0.05,6.83,27.87,-25.94
"(66.939, 100.0]",2333,49.08,-0.03,-0.17,7.02,30.71,-27.2
