bucket,Trades,WinRate,AvgReturn,MedianReturn,StdDev,BestReturn,WorstReturn
"(3.775, 32.347]",2356,50.72,0.18,0.1,7.19,36.93,-38.78
"(32.347, 44.796]",2335,53.19,0.5,0.42,7.2,35.52,-40.13
"(44.796, 55.816]",2337,49.34,-0.02,-0.13,7.11,26.5,-40.43
"(55.816, 69.694]",2350,51.53,0.1,0.27,6.91,23.2,-41.57
"(69.694, 100.0]",2333,49.25,0.03,-0.1,6.88,30.71,-39.21
